Police Region,Murder,Rape,Child Desertion,Unnatural Offence,Defilement,Total
Arusha,64,147,25,37,7,280
Ilala,77,278,3,87,0,445
Temeke,72,90,4,157,0,323
Kinondoni,159,467,16,176,0,818
Dodoma,176,46,2,80,1,305
Geita,185,132,1,5,0,323
Iringa,97,191,6,32,0,326
Kagera,228,56,14,5,0,303
Katavi,68,123,3,9,0,203
Kigoma,56,45,7,21,4,133
Kilimanjaro,78,87,16,82,5,268
Lindi,51,78,0,17,1,147
Mara,98,67,3,24,1,193
Manyara,95,206,2,34,1,338
Mbeya,173,54,5,41,0,273
Morogoro,152,89,2,43,0,286
Mtwara,51,109,2,8,0,170
Mwanza,56,58,7,30,0,151
Njombe,86,79,4,22,0,191
Pwani,65,45,3,56,0,169
Rukwa,90,69,4,10,0,173
Ruvuma,58,67,11,9,0,145
Shinyanga,102,43,3,30,0,178
Simiyu,66,99,1,6,0,172
Singida,866,78,2,22,0,968
Songwe,94,123,1,5,1,224
Tabora,43,70,2,20,0,135
Tanga,99,418,7,52,0,576
Tarime – Rorya,80,65,1,14,0,160
Marine,0,2,0,0,0,2
Railways,0,0,0,0,0,0
TAZARA,0,0,0,0,0,0
Airports,0,0,0,0,0,0
Tanzania Mainland,560,1086,157,1134,15,2952
Kaskazini Pemba,1,36,0,2,1,40
Kaskazini Unguja,3,44,0,12,0,59
Kusini Pemba,5,18,0,3,0,26
Kusini Unguja,5,43,1,6,0,55
Mjini Magharibi,21,324,1,45,2,393
Tanzania Zanzibar,35,465,2,68,3,573
Tanzania,3318,7645,159,1202,18,12342
