STATE_UT,DISTRICT,YEAR,MURDER,RAPE,CHILD_DESERTION,UNNATURAL_OFFENCE,DEFILEMENT,TOTAL_IPC_CRIMES
ARUSHA,TOTAL,2016,64,147,25,37,1,274
DAR-ES-SALAAM,TOTAL,2016,308,1140,23,420,0,1891
DODOMA,TOTAL,2016,176,279,2,80,1,538
GEITA,TOTAL,2016,185,132,1,5,0,323
IRINGA,TOTAL,2016,97,191,6,32,0,326
KAGERA,TOTAL,2016,228,269,14,5,0,516
KATAVI,TOTAL,2016,68,123,3,9,0,203
KIGOMA,TOTAL,2016,140,226,7,21,4,398
KILIMANJARO,TOTAL,2016,78,315,16,82,5,496
LINDI,TOTAL,2016,51,209,0,17,1,278
MANYARA,TOTAL,2016,95,206,2,34,1,338
MARA,TOTAL,2016,98,227,3,24,1,353
MBEYA,TOTAL,2016,173,484,5,41,0,703
MOROGORO,TOTAL,2016,152,425,2,43,0,622
MTWARA,TOTAL,2016,51,153,2,8,0,214
MWANZA,TOTAL,2016,173,245,7,30,0,455
NJOMBE,TOTAL,2016,86,166,4,22,0,278
PWANI,TOTAL,2016,129,408,3,56,0,596
RUKWA,TOTAL,2016,90,218,4,10,0,322
RUVUMA,TOTAL,2016,58,209,11,9,0,287
SHINYANGA,TOTAL,2016,102,252,3,30,0,387
SIMIYU,TOTAL,2016,66,99,1,6,0,172
SINGIDA,TOTAL,2016,109,173,2,22,0,306
SONGWE,TOTAL,2016,94,123,1,5,1,224
TABORA,TOTAL,2016,233,206,2,20,0,461
TANGA,TOTAL,2016,99,418,7,52,0,576
